entity,count
URIC ACID,13
GLUCOSE,4
UA,4
LIPID,3
ASCORBIC ACID,3
DOPAMINE,3
FEBUXOSTAT,2
ACETAMINOPHEN,2
CALCIUM,2
PHOSPHORUS,2
AROMATIC,2
OXALATE,2
TRIGLYCERIDES,2
TRIGLYCERIDE,2
HDL-C,1
URIC ACID-TO-,1
HOLLOW MESOPOROUS CARBON SPHERES,1
NITROGEN (N),1
P-DOPED HOLLOW MESOPOROUS CARBON NANOSPHERESDUAL HETEROATOM-DOPED CARBON HOLLOW SPHERES,1
TGS,1
CREATININE,1
BUN,1
MG,1
MAGNESIUM,1
CA2+,1
CA ISOTOPES,1
CARBONATE APATITE,1
CA,1
NPHMCS,1
PHYTIC ACID,1
PA,1
BIOANALYTES,1
NITROGEN,1
PHOSPHOROUS,1
AA,1
DA,1
AC,1
RIBOFLAVIN,1
UREA,1
ASTRAGALOSIDE IV,1
AST,1
I. P. AST,1
EUBACTERIUM,1
SHORT-CHAIN FATTY ACIDS,1
SCFA,1
TYG,1
UREA NITROGEN,1
METS,1
IVW,1
AGA,1
TYG-BMI,1
SUA,1
LOW-DENSITY LIPOPROTEIN CHOLESTEROL,1
FREE FATTY ACIDS,1
PHOSPHOLIPIDS,1
CHOLESTEROL,1
ALLOPURINOL,1
PREDNISONE,1
TG,1
ICI,1
25-HYDROXYVITAMIN D LEVELSBACKGROUND,1
25-HYDROXYVITAMIN,1
25-HYDROXYVITAMIN D,1
VITAMIN D,1
ΜPAD,1
PIPERIDINE SUBSTITUTED COBALT(II),1
COPPER(II) PHTHALOCYANINES,1
-DENSITY LIPOPROTEIN CHOLESTEROL,1
URIC ACIDPERIPHERALLY,1
NON-PERIPHERALLY TETRA SUBSTITUTED COBALT(II),1
METALLO-PHTHALOCYANINES,1
PIPERIDINE,1
COBALT(II) PHTHALOCYANINE,1
COPPER(II) PHTHALOCYANINE,1
GLUCOCORTICOID,1
CITRATE,1
OXALATE OXIDASE,1
URICASE,1
COPPER MUREXIDE,1
SHORT-CHAIN FATTY ACID,1
